record_id,timestamp,charge_point_id,sensor_reading,expected_reading,deviation_percent,actuator_state,actuator_command,actuator_response_time_ms,scada_latency_ms,packet_loss_percent,protocol,command_type,command_frequency,power_reading_kw,current_reading_a,temperature_c,digital_value,physical_value,data_consistency,anomaly_score,attack_type,attack_subtype,label
1,2026-01-01 12:06:00,CP-008,171.99,227.46,24.39,unknown,override,1206.4,326.7,18.06,modbus,stop_charging,86,36.51,158.74,21.9,171.99,249.1,77.11,0.932,combined_attack,multi_vector,1
2,2026-01-01 07:11:00,CP-003,222.19,221.29,0.41,on,none,29.85,44.37,0.52,modbus,start_charging,7,21.42,93.13,33.54,222.19,221.45,0.74,0.0693,none,none,0
3,2026-01-01 09:46:00,CP-015,239.35,238.16,0.5,off,none,13.2,48.76,0.4,ocpp,stop_charging,8,11.03,47.96,35.23,239.35,239.22,0.13,0.0312,none,none,0
4,2026-01-01 05:11:00,CP-001,233.48,233.0,0.21,on,none,23.02,32.58,0.26,iec61850,write_register,5,11.96,52.0,35.33,233.48,233.21,0.27,0.0998,none,none,0
5,2026-01-01 14:52:00,CP-006,29.81,226.41,86.83,unknown,write_register,35.62,6.48,2.77,ocpp,reset_device,34,2.77,12.04,20.17,29.81,226.41,196.6,0.6962,false_data_injection,state_injection,1
6,2026-01-01 03:10:00,CP-011,236.34,238.29,0.82,off,none,37.76,26.5,0.23,modbus,read_register,2,8.95,38.91,42.02,236.34,235.61,0.73,0.1547,none,none,0
7,2026-01-01 09:12:00,CP-020,224.26,224.18,0.04,off,none,42.29,21.92,0.4,modbus,start_charging,1,4.4,19.13,20.75,224.26,223.49,0.77,0.0581,none,none,0
8,2026-01-01 00:27:00,CP-014,232.12,232.17,0.02,off,none,45.98,13.55,0.04,dnp3,read_register,9,20.59,89.52,33.46,232.12,232.56,0.44,0.1484,none,none,0
9,2026-01-01 10:12:00,CP-017,233.0,233.37,0.16,on,none,35.08,23.18,0.03,ocpp,stop_charging,8,8.75,38.04,34.9,233.0,232.34,0.66,0.149,none,none,0
10,2026-01-01 02:25:00,CP-008,236.7,237.72,0.43,off,none,28.52,37.36,0.42,dnp3,write_register,4,11.75,51.09,23.88,236.7,236.08,0.62,0.175,none,none,0
11,2026-01-01 08:18:00,CP-016,226.01,227.95,0.85,off,none,43.66,28.54,0.3,modbus,set_power_limit,2,20.43,88.83,32.84,226.01,226.03,0.02,0.0826,none,none,0
12,2026-01-01 09:43:00,CP-014,232.96,232.11,0.37,on,none,19.16,37.98,0.34,ocpp,set_power_limit,1,20.23,87.96,36.63,232.96,232.46,0.5,0.1375,none,none,0
13,2026-01-01 05:23:00,CP-018,228.74,227.74,0.44,off,none,43.14,14.93,0.08,ocpp,set_power_limit,10,18.34,79.74,37.12,228.74,228.31,0.43,0.1486,none,none,0
14,2026-01-01 13:00:00,CP-016,167.05,221.68,24.64,fault,override,1220.89,263.41,16.23,iec61850,update_firmware,39,25.91,112.65,44.11,167.05,259.64,92.59,0.9486,combined_attack,sensor_plus_actuator,1
15,2026-01-01 11:09:00,CP-007,226.29,225.85,0.19,off,none,48.95,36.62,0.1,dnp3,set_power_limit,2,12.54,54.52,39.38,226.29,225.34,0.95,0.1592,none,none,0
16,2026-01-01 07:12:00,CP-015,234.75,232.84,0.82,on,none,12.52,44.23,0.23,iec61850,stop_charging,10,9.51,41.35,36.15,234.75,234.4,0.35,0.1187,none,none,0
17,2026-01-01 12:33:00,CP-009,114.38,226.28,49.45,unknown,inject_command,1342.87,207.25,22.61,ocpp,update_firmware,99,41.4,180.0,28.14,114.38,265.92,151.54,0.6737,combined_attack,multi_vector,1
