timestamp,charge_point_id,protocol,encryption_type,tls_version,cipher_suite,is_encrypted,cipher_strength,key_size,certificate_status,certificate_days_remaining,handshake_completed,message_integrity_check,session_key_rotation,forward_secrecy,anomaly_type,label
2025-12-04 06:08:08,CP-009,CAN-BUS,AES-256-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,521,verified,317,1,1,1,1,none,0
2025-12-04 07:00:08,CP-001,OCPP 2.0,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,521,valid,124,1,1,1,1,none,0
2025-12-04 15:51:08,CP-034,OCPP 2.0.1,DES,NONE,TLS_RSA_EXPORT_WITH_RC4_40_MD5,1,56,256,valid,313,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 09:12:08,CP-001,OCPP 2.0,AES-128-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,384,verified,224,1,1,1,1,none,0
2025-12-04 03:58:08,CP-031,OCPP 2.0.1,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,valid,306,1,1,1,1,none,0
2025-12-04 08:37:08,CP-044,OCPP 2.0.1,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,384,verified,125,1,1,1,1,none,0
2025-12-04 08:33:08,CP-033,OCPP 1.6,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,521,valid,118,1,1,1,1,none,0
2025-12-04 12:22:08,CP-048,ISO 15118,AES-256-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,384,521,valid,166,1,1,1,1,none,0
2025-12-04 13:31:08,CP-023,OCPP 2.0,AES-128-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,384,valid,259,1,1,1,1,none,0
2025-12-04 08:51:08,CP-018,OCPP 2.0,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,256,521,valid,132,1,1,1,1,none,0
2025-12-04 10:44:08,CP-011,ISO 15118,ChaCha20-Poly1305,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,384,521,valid,91,1,1,1,1,none,0
2025-12-04 16:28:08,CP-038,CAN-BUS,NONE,TLS 1.0,TLS_RSA_WITH_RC4_128_SHA,1,112,256,valid,176,1,1,1,0,downgrade_attack,1
2025-12-04 10:06:08,CP-002,OCPP 1.6,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,valid,145,1,1,1,1,none,0
2025-12-04 19:27:08,CP-024,OCPP 1.6,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,256,self_signed,344,1,0,1,1,man_in_the_middle,1
2025-12-04 04:34:08,CP-048,OCPP 2.0,AES-128-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,521,valid,137,1,1,1,1,none,0
2025-12-04 04:45:08,CP-023,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,384,verified,202,1,1,1,1,none,0
2025-12-04 17:42:08,CP-016,OCPP 2.0,AES-256-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,256,self_signed,219,1,0,1,1,man_in_the_middle,1
