timestamp,charge_point_id,grid_load_kw,max_grid_capacity_kw,load_percentage,simultaneous_charging,voltage_v,frequency_hz,power_factor,demand_response_signal,dr_compliance_rate,ramp_rate_kw_min,reactive_power_kvar,thd_percentage,peak_hour,day_type,attack_type,label
2026-01-01 05:51:00,CP_ANT_0028,573.3,1000,57.33,4,406.04,50.071,0.983,0,0,6.7,19.93,1.57,0,0,normal,0
2026-01-01 13:40:00,CP_ANK_0095,1294.0,1500,86.27,45,376.77,49.679,0.85,1,0.017,110.27,228.39,8.3,1,0,coordinated_attack,1
2026-01-01 15:22:00,CP_ANK_0073,1199.78,1500,79.99,10,387.94,50.099,0.952,1,0.028,34.49,59.01,6.56,0,0,dr_manipulation,1
2026-01-01 06:21:00,CP_BUR_0048,480.76,1000,48.08,4,405.91,49.947,0.958,1,0.883,6.3,28.57,2.74,0,0,normal,0
2026-01-01 11:12:00,CP_BUR_0060,754.65,1500,50.31,4,407.84,49.979,0.951,0,0,10.64,-36.35,3.35,0,0,normal,0
2026-01-01 10:53:00,CP_IZM_0061,938.09,1500,62.54,5,400.61,50.004,0.959,0,0,7.88,-1.67,4.35,0,0,normal,0
2026-01-01 02:37:00,CP_ANK_0064,420.41,750,56.05,1,408.7,49.935,0.994,0,0,14.01,-46.37,3.93,0,0,normal,0
2026-01-01 07:38:00,CP_IZM_0050,319.05,750,42.54,4,407.9,50.079,0.985,1,0.943,6.82,-7.59,3.87,1,0,normal,0
2026-01-01 04:38:00,CP_ANK_0002,360.54,750,48.07,4,402.7,50.073,0.998,0,0,7.11,-36.77,1.61,0,0,normal,0
2026-01-01 08:08:00,CP_ANK_0065,525.64,1000,52.56,5,398.53,49.924,0.977,0,0,9.28,36.27,4.45,1,0,normal,0
2026-01-01 11:47:00,CP_ANT_0049,879.72,750,117.3,23,362.71,49.708,0.905,0,0.193,62.62,243.49,10.42,0,0,grid_overload,1
2026-01-01 03:32:00,CP_IST_0055,285.91,500,57.18,3,406.63,50.065,0.968,0,0,11.4,-5.86,1.76,0,0,normal,0
2026-01-01 05:05:00,CP_BUR_0014,967.7,1500,64.51,1,401.89,50.06,0.972,1,0.917,1.78,-0.26,3.29,0,0,normal,0
2026-01-01 11:10:00,CP_BUR_0064,499.25,750,66.57,2,399.11,50.026,0.965,0,0,10.47,22.24,1.76,0,0,normal,0
2026-01-01 00:54:00,CP_ANT_0076,491.99,1000,49.2,2,396.81,49.939,0.956,0,0,2.87,23.86,1.97,0,0,normal,0
2026-01-01 11:04:00,CP_IST_0026,887.55,1500,59.17,3,396.4,49.921,0.978,0,0,12.4,10.34,1.09,0,0,normal,0
2026-01-01 14:00:00,CP_ANK_0018,1779.38,2000,88.97,21,396.79,49.876,0.88,1,0.035,99.22,228.91,9.02,1,0,coordinated_attack,1
2026-01-01 03:16:00,CP_ANK_0074,367.6,750,49.01,5,409.21,49.94,0.966,1,0.995,4.37,19.5,2.72,0,0,normal,0
2026-01-01 06:43:00,CP_BUR_0065,233.31,500,46.66,3,406.8,49.93,0.967,1,0.936,0.74,-10.08,1.3,0,0,normal,0
2026-01-01 07:46:00,CP_ANK_0007,946.67,1500,63.11,2,404.91,50.045,0.958,0,0,0.81,-23.56,3.87,1,0,normal,0
2026-01-01 12:09:00,CP_ANK_0020,1181.28,1000,118.13,20,365.42,49.742,0.881,1,0.143,47.65,101.9,9.08,0,0,grid_overload,1
2026-01-01 05:04:00,CP_BUR_0071,413.75,750,55.17,4,407.78,50.074,0.954,1,0.898,4.96,-22.18,2.77,0,0,normal,0
2026-01-01 04:02:00,CP_IST_0034,223.31,500,44.66,2,401.74,49.963,0.956,0,0,14.47,-29.24,2.08,0,0,normal,0
2026-01-01 04:07:00,CP_ANT_0079,823.26,1500,54.88,4,405.25,49.935,0.961,0,0,4.12,-5.4,1.52,0,0,normal,0
2026-01-01 10:00:00,CP_ANK_0057,954.25,1500,63.62,2,407.03,49.983,0.97,1,0.993,7.74,18.22,4.3,0,0,normal,0
2026-01-01 15:19:00,CP_ANK_0084,531.85,750,70.91,15,399.97,50.061,0.907,1,-0.374,44.68,73.99,5.0,0,0,dr_manipulation,1
2026-01-01 16:14:00,CP_ANK_0004,671.41,750,89.52,7,391.2,50.312,0.76,1,0.569,190.57,45.23,10.22,0,0,grid_instability,1
2026-01-01 09:57:00,CP_ANT_0057,323.54,500,64.71,1,402.61,49.933,0.956,0,0,13.66,-34.3,2.02,0,0,normal,0
2026-01-01 00:04:00,CP_IST_0088,494.96,750,65.99,4,399.17,50.027,0.968,0,0,5.33,17.02,3.46,0,0,normal,0
2026-01-01 00:56:00,CP_IST_0015,646.16,1500,43.08,1,403.61,49.994,0.972,0,0,14.48,-24.75,4.02,0,0,normal,0
2026-01-01 04:39:00,CP_ANT_0067,582.5,1000,58.25,3,405.69,50.042,0.964,1,0.978,6.88,-28.18,2.06,0,0,normal,0
2026-01-01 00:31:00,CP_ANT_0056,217.3,500,43.46,3,397.68,50.093,0.963,0,0,8.95,-15.43,3.75,0,0,normal,0
2026-01-01 13:27:00,CP_IZM_0071,384.79,500,76.96,3,389.65,49.832,0.746,0,0.28,34.45,388.31,10.44,0,0,power_imbalance,1
2026-01-01 06:00:00,CP_ANK_0096,259.84,500,51.97,3,396.14,50.086,0.974,0,0,3.28,7.37,1.64,0,0,normal,0
2026-01-01 09:41:00,CP_IZM_0055,243.61,500,48.72,4,396.19,50.06,0.965,0,0,10.26,-19.96,1.87,0,0,normal,0
2026-01-01 08:31:00,CP_ANK_0086,300.97,750,40.13,5,409.63,49.966,0.985,1,0.984,14.54,25.42,4.48,1,0,normal,0
2026-01-01 14:10:00,CP_IZM_0006,1603.72,2000,80.19,33,383.71,49.769,0.821,1,0.061,118.06,231.85,8.1,1,0,coordinated_attack,1
2026-01-01 03:14:00,CP_ANT_0064,480.52,1000,48.05,2,395.95,49.987,0.971,1,0.967,5.42,44.42,3.52,0,0,normal,0
2026-01-01 06:36:00,CP_BUR_0048,225.02,500,45.0,2,403.25,50.001,0.983,1,0.99,13.54,5.01,4.49,0,0,normal,0
2026-01-01 09:24:00,CP_BUR_0059,878.1,1500,58.54,5,398.9,49.918,0.968,0,0,0.21,2.58,3.71,0,0,normal,0
2026-01-01 13:03:00,CP_BUR_0017,1042.63,1500,69.51,5,426.39,50.283,0.698,1,0.458,32.03,364.25,14.42,0,0,power_imbalance,1
2026-01-01 15:46:00,CP_IZM_0032,413.92,1000,41.39,19,366.75,49.33,0.902,1,0.397,163.34,228.93,12.21,0,0,grid_instability,1
2026-01-01 01:23:00,CP_IST_0015,445.72,750,59.43,4,408.64,49.96,0.97,0,0,0.68,-46.28,4.49,0,0,normal,0
2026-01-01 16:30:00,CP_ANT_0034,1491.85,1500,99.46,10,417.91,50.142,0.823,0,0.264,137.99,27.69,14.1,0,0,grid_instability,1
2026-01-01 09:29:00,CP_BUR_0068,517.81,750,69.04,5,395.62,49.936,0.958,1,0.99,13.17,-36.81,2.11,0,0,normal,0
2026-01-01 14:50:00,CP_ANK_0004,1055.82,1500,70.39,7,395.47,50.03,0.951,1,-0.218,28.53,108.25,6.34,0,0,dr_manipulation,1
2026-01-01 13:04:00,CP_ANK_0008,653.74,1000,65.37,8,392.42,50.109,0.701,1,0.463,49.74,160.67,14.84,0,0,power_imbalance,1
2026-01-01 06:38:00,CP_IZM_0089,578.73,1000,57.87,5,397.03,50.078,0.95,0,0,3.22,-18.51,3.7,0,0,normal,0
2026-01-01 09:07:00,CP_BUR_0066,694.38,1500,46.29,1,404.77,49.96,0.99,1,0.95,4.7,-8.57,1.88,0,0,normal,0
2026-01-01 12:25:00,CP_IZM_0007,532.88,500,106.58,10,385.93,49.614,0.863,0,0.067,65.56,112.27,8.56,0,0,grid_overload,1
2026-01-01 00:28:00,CP_ANK_0095,494.54,750,65.94,2,408.22,49.905,0.987,0,0,11.74,-8.83,3.34,0,0,normal,0
2026-01-01 04:11:00,CP_ANT_0046,429.53,750,57.27,4,400.32,50.068,0.992,0,0,3.55,-18.2,3.58,0,0,normal,0
2026-01-01 02:51:00,CP_ANK_0070,315.14,750,42.02,5,395.5,50.02,0.985,0,0,3.67,-45.58,2.54,0,0,normal,0
2026-01-01 10:13:00,CP_ANK_0078,282.13,500,56.43,1,408.06,49.984,0.979,1,0.985,11.72,-2.48,3.52,0,0,normal,0
2026-01-01 11:45:00,CP_ANK_0031,447.38,500,89.48,10,369.04,49.702,0.866,1,0.05,66.78,123.14,9.98,0,0,grid_overload,1
2026-01-01 13:15:00,CP_BUR_0079,921.7,1500,61.45,9,408.05,50.121,0.788,0,0.499,44.18,175.95,12.55,0,0,power_imbalance,1
2026-01-01 05:48:00,CP_IST_0001,263.82,500,52.76,3,402.16,49.947,0.993,0,0,8.97,4.37,1.9,0,0,normal,0
2026-01-01 13:14:00,CP_ANK_0077,936.32,1500,62.42,8,391.13,50.025,0.705,1,0.234,25.27,257.1,9.24,0,0,power_imbalance,1
2026-01-01 09:25:00,CP_ANT_0027,233.67,500,46.73,2,397.86,50.072,0.989,0,0,11.2,-11.79,2.51,0,0,normal,0
2026-01-01 01:05:00,CP_ANT_0025,639.63,1500,42.64,3,399.85,50.094,0.97,0,0,9.86,4.26,2.45,0,0,normal,0
2026-01-01 07:35:00,CP_IST_0037,981.44,1500,65.43,3,395.94,50.08,0.998,0,0,10.55,32.08,2.26,1,0,normal,0
2026-01-01 09:02:00,CP_IST_0076,314.78,500,62.96,3,400.71,49.986,1.0,1,0.903,9.92,-25.24,3.27,0,0,normal,0
2026-01-01 14:13:00,CP_IZM_0017,802.99,750,107.07,45,381.3,49.742,0.886,1,0.115,143.47,211.82,7.63,1,0,coordinated_attack,1
2026-01-01 03:49:00,CP_ANK_0027,588.57,1000,58.86,5,406.51,49.985,0.97,0,0,4.16,-19.01,2.79,0,0,normal,0
2026-01-01 12:30:00,CP_BUR_0009,687.82,750,91.71,25,381.35,49.767,0.891,1,0.268,66.91,243.47,11.47,0,0,grid_overload,1
2026-01-01 07:49:00,CP_ANT_0025,500.49,1000,50.05,3,407.03,49.951,0.979,1,0.966,11.24,23.43,3.06,1,0,normal,0
2026-01-01 04:56:00,CP_ANT_0012,454.85,750,60.65,4,399.96,49.901,0.984,0,0,12.53,16.9,1.52,0,0,normal,0
2026-01-01 10:08:00,CP_IST_0058,485.14,750,64.69,3,401.81,49.929,0.971,1,0.862,0.93,38.85,2.67,0,0,normal,0
2026-01-01 09:56:00,CP_ANT_0079,668.9,1000,66.89,5,404.06,49.921,0.953,1,0.97,14.44,25.58,4.41,0,0,normal,0
2026-01-01 10:09:00,CP_BUR_0089,603.05,1000,60.3,4,403.82,50.004,0.97,0,0,8.76,13.65,4.49,0,0,normal,0
2026-01-01 05:16:00,CP_IZM_0090,469.56,750,62.61,1,400.38,49.991,0.981,0,0,11.14,6.13,1.83,0,0,normal,0
2026-01-01 02:13:00,CP_ANK_0090,321.58,500,64.32,3,405.02,50.042,0.977,0,0,13.37,35.14,3.49,0,0,normal,0
2026-01-01 04:12:00,CP_IZM_0070,305.52,500,61.1,3,409.21,50.013,0.978,0,0,12.55,31.04,4.4,0,0,normal,0
2026-01-01 14:20:00,CP_IZM_0038,711.9,750,94.92,23,393.47,49.689,0.832,1,0.046,114.13,136.26,6.12,1,0,coordinated_attack,1
2026-01-01 01:25:00,CP_IZM_0070,1022.57,1500,68.17,3,395.49,49.974,0.972,0,0,12.83,-40.06,3.4,0,0,normal,0
2026-01-01 10:56:00,CP_IST_0046,810.4,1500,54.03,4,400.51,50.0,0.964,0,0,2.69,-26.62,3.26,0,0,normal,0
2026-01-01 13:36:00,CP_IZM_0016,595.16,1000,59.52,8,394.02,50.034,0.663,0,0.318,40.89,263.65,13.94,0,0,power_imbalance,1
2026-01-01 16:36:00,CP_IZM_0049,736.87,750,98.25,10,351.75,50.286,0.752,2,0.228,179.91,-89.34,11.7,0,0,grid_instability,1
2026-01-01 03:57:00,CP_ANT_0026,460.2,1000,46.02,5,406.77,50.048,0.962,0,0,8.88,-0.66,3.7,0,0,normal,0
2026-01-01 05:43:00,CP_IST_0073,330.31,750,44.04,5,395.59,50.014,0.953,0,0,13.84,1.66,2.42,0,0,normal,0
2026-01-01 14:17:00,CP_IST_0086,1975.19,2000,98.76,29,376.04,49.649,0.901,1,0.162,77.31,178.96,8.15,1,0,coordinated_attack,1
2026-01-01 09:14:00,CP_ANK_0014,998.05,1500,66.54,2,404.0,50.055,0.966,1,0.971,11.16,43.55,1.76,0,0,normal,0
2026-01-01 05:46:00,CP_IST_0070,436.24,750,58.17,2,402.14,50.023,0.952,0,0,1.4,15.94,4.16,0,0,normal,0
2026-01-01 00:02:00,CP_IST_0069,515.37,750,68.72,3,396.53,49.976,0.968,0,0,9.06,30.71,3.55,0,0,normal,0
2026-01-01 01:40:00,CP_IST_0008,469.86,750,62.65,1,400.18,49.922,0.984,1,0.929,4.63,-27.95,4.45,0,0,normal,0
2026-01-01 16:37:00,CP_BUR_0006,643.67,750,85.82,18,389.61,49.684,0.719,0,0.263,137.56,224.57,12.17,0,0,grid_instability,1
2026-01-01 10:20:00,CP_ANK_0007,454.44,1000,45.44,1,399.47,49.92,0.957,0,0,3.87,44.16,4.15,0,0,normal,0
2026-01-01 03:07:00,CP_ANT_0027,721.99,1500,48.13,1,405.27,49.956,0.977,0,0,2.69,35.04,1.05,0,0,normal,0
2026-01-01 01:49:00,CP_ANT_0067,321.65,500,64.33,3,409.74,49.917,0.982,0,0,3.72,-6.22,2.54,0,0,normal,0
2026-01-01 00:10:00,CP_ANT_0100,414.23,750,55.23,1,408.06,49.96,0.982,0,0,2.29,26.25,2.89,0,0,normal,0
2026-01-01 03:36:00,CP_IST_0058,457.82,750,61.04,2,398.75,50.042,0.991,1,0.923,8.66,-23.13,2.45,0,0,normal,0
2026-01-01 16:28:00,CP_ANT_0070,937.48,1500,62.5,19,429.35,49.372,0.898,0,0.198,93.97,-62.48,9.17,0,0,grid_instability,1
2026-01-01 00:44:00,CP_IZM_0042,866.35,1500,57.76,1,396.26,49.986,0.993,0,0,0.75,-12.09,1.74,0,0,normal,0
2026-01-01 12:06:00,CP_IST_0069,1047.27,1000,104.73,24,378.15,49.626,0.818,1,0.114,97.84,149.5,7.62,0,0,grid_overload,1
2026-01-01 00:25:00,CP_BUR_0021,713.0,1500,47.53,1,396.38,49.985,0.964,0,0,5.0,-36.92,4.43,0,0,normal,0
2026-01-01 10:02:00,CP_ANT_0036,346.66,500,69.33,5,409.59,49.984,0.994,0,0,10.82,-18.63,2.2,0,0,normal,0
2026-01-01 00:33:00,CP_BUR_0086,599.02,1000,59.9,1,405.8,49.96,0.965,1,0.899,10.46,5.44,1.67,0,0,normal,0
2026-01-01 07:45:00,CP_BUR_0020,766.4,1500,51.09,2,398.92,50.04,0.974,0,0,5.14,-41.56,1.51,1,0,normal,0
2026-01-01 04:10:00,CP_IST_0095,417.58,1000,41.76,4,402.94,50.053,1.0,0,0,1.5,15.69,1.93,0,0,normal,0
2026-01-01 11:08:00,CP_IZM_0090,418.32,750,55.78,5,408.19,49.992,0.979,0,0,4.32,38.1,2.6,0,0,normal,0
2026-01-01 05:58:00,CP_IST_0034,608.26,1000,60.83,4,403.45,50.054,0.988,1,0.952,13.45,36.2,2.69,0,0,normal,0
2026-01-01 10:25:00,CP_ANT_0018,1049.66,1500,69.98,2,403.78,50.002,0.952,0,0,4.51,-10.47,1.43,0,0,normal,0
2026-01-01 07:03:00,CP_ANT_0059,640.7,1500,42.71,5,396.7,50.056,0.997,0,0,5.9,-17.65,1.09,1,0,normal,0
2026-01-01 16:34:00,CP_IZM_0039,395.98,750,52.8,18,438.3,50.215,0.897,2,0.235,191.94,112.39,16.42,0,0,grid_instability,1
