timestamp,charge_point_id,log_type,log_size,previous_log_time,time_gap_seconds,sequence_number,log_hash,log_source,user_agent,is_encrypted,file_permission,anomaly_type,label
2025-12-04 03:13:59,CP_0019,LOG_PURGE,45963,,0,1,0622b30cd650,UNKNOWN_SOURCE,Postman/8.0,0,644,FAKE_LOG_INJECTION,1
2025-12-04 03:15:50,CP_0028,SESSION_END,1243,2025-12-04 03:13:59,111,2,051f710be356,CSMS,EVSE-Controller/3.0,1,644,NORMAL,0
2025-12-04 03:17:24,CP_0020,DELETED_ENTRY,0,2025-12-04 03:15:50,65033,3,000000000000,OCPP_GATEWAY,MeterService/1.5,1,644,LOG_DELETION,1
2018-03-29 03:13:59,CP_0018,FIRMWARE_CHECK,1233,2025-12-04 03:17:24,-7200,4,096d350887af,EVSE,OCPP/1.6J-ChargePoint,0,644,TIMESTAMP_MANIPULATION,1
2025-12-04 03:21:23,CP_0006,ENERGY_UPDATE,1508,2025-12-04 03:21:00,23,5,0ee6b60abaa3,EVSE,EVSE-Controller/3.0,1,644,NORMAL,0
2025-12-04 03:23:02,CP_0031,FIRMWARE_CHECK,1462,2025-12-04 03:21:23,99,6,0899ff05f9f4,CSMS,MeterService/1.5,0,644,NORMAL,0
2025-12-04 03:23:58,CP_0031,STATUS_CHANGE,964,2025-12-04 03:23:02,56,7,06dbdb06a9ad,EVSE,CSMS-Monitor/2.1,1,644,NORMAL,0
2025-12-04 03:28:21,CP_0019,AUDIT_SKIP,26186,2025-12-04 03:23:58,263,8,0db1a10a53d2,UNKNOWN_SOURCE,Postman/8.0,0,644,FAKE_LOG_INJECTION,1
2025-12-04 03:29:30,CP_0050,METER_VALUE,1899,2025-12-04 03:28:21,69,9,09c2690eb986,EVSE,MeterService/1.5,0,644,NORMAL,0
2025-12-04 03:30:07,CP_0013,FIRMWARE_CHECK,868,2025-12-04 03:29:30,37,10,0b7cee0da104,AUTH_SERVICE,MeterService/1.5,1,644,NORMAL,0
2025-12-04 03:32:01,CP_0018,FIRMWARE_CHECK,396,2025-12-04 03:30:07,114,11,062264088926,AUTH_SERVICE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 03:34:13,CP_0046,AUTH_SUCCESS,764,2025-12-04 03:32:01,132,12,0a56dc01bea2,ADMIN_OVERRIDE,MetadataEditor/HACK,0,777,LOG_METADATA_TAMPERING,1
2025-12-04 03:35:23,CP_0042,AUTH_SUCCESS,1148,2025-12-04 03:34:13,70,13,0cfdd5063217,OCPP_GATEWAY,MeterService/1.5,0,644,NORMAL,0
2025-12-04 03:39:34,CP_0016,CONNECTOR_STATUS,1256,2025-12-04 03:35:23,251,14,03d71407a9cb,CSMS,CSMS-Monitor/2.1,1,644,NORMAL,0
2025-12-04 03:42:05,CP_0050,METER_VALUE,824,2025-12-04 03:39:34,151,15,0e211d09a651,OCPP_GATEWAY,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 03:44:47,CP_0038,CONFIG_UPDATE,1479,2025-12-04 03:42:05,162,16,095c3103e745,AUTH_SERVICE,MeterService/1.5,1,644,NORMAL,0
2025-12-04 03:49:35,CP_0025,STATUS_CHANGE,52,2025-12-04 03:44:47,288,17,MODIFIED_7730,CSMS,UnknownEditor/1.0,1,644,LOG_MODIFICATION,1
2025-12-04 03:53:47,CP_0046,METER_VALUE,918,2025-12-04 03:49:35,252,18,0c25180e3444,CSMS,MeterService/1.5,1,644,NORMAL,0
2025-12-04 03:56:46,CP_0007,DELETED_ENTRY,0,2025-12-04 03:53:47,23832,19,000000000000,EVSE,CSMS-Monitor/2.1,0,644,LOG_DELETION,1
2025-12-04 03:57:34,CP_0031,HEARTBEAT,821,2025-12-04 03:56:46,48,20,0b7f7e0c9bf1,AUTH_SERVICE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 04:02:17,CP_0025,STATUS_CHANGE,1411,2025-12-04 03:57:34,283,21,0d067d0dad22,AUTH_SERVICE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 04:04:54,CP_0015,SESSION_START,51,2025-12-04 04:02:17,157,22,MODIFIED_5906,EVSE,UnknownEditor/1.0,1,644,LOG_MODIFICATION,1
2025-12-04 04:07:50,CP_0004,HEARTBEAT,862,2025-12-04 04:04:54,176,23,0785f9086ab7,CSMS,CSMS-Monitor/2.1,0,644,NORMAL,0
2025-12-04 04:12:49,CP_0044,AUTH_SUCCESS,476,2025-12-04 04:07:50,299,24,0453b502ca14,AUTH_SERVICE,CSMS-Monitor/2.1,0,644,NORMAL,0
2025-12-04 04:14:12,CP_0015,CONNECTOR_STATUS,1434,2025-12-04 04:12:49,83,25,0596ea08e106,OCPP_GATEWAY,OCPP/1.6J-ChargePoint,0,644,NORMAL,0
2025-12-04 04:16:49,CP_0044,FIRMWARE_CHECK,451,2025-12-04 04:14:12,157,26,02b5290897f3,OCPP_GATEWAY,EVSE-Controller/3.0,0,644,NORMAL,0
2025-12-04 04:19:07,CP_0030,HEARTBEAT,535,2025-12-04 04:16:49,138,27,07ae540f2de3,AUTH_SERVICE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 04:22:32,CP_0037,STATUS_CHANGE,1305,2025-12-04 04:19:07,205,28,0642840cb6df,OCPP_GATEWAY,OCPP/1.6J-ChargePoint,0,644,NORMAL,0
2025-12-04 04:25:02,CP_0001,CONFIG_UPDATE,1899,2025-12-04 04:22:32,150,29,0c7fa80dfa96,EVSE,MeterService/1.5,1,644,NORMAL,0
2025-12-04 04:27:09,CP_0039,STATUS_CHANGE,576,2025-12-04 04:25:02,-684,-61,0bb636049167,OCPP_GATEWAY,CSMS-Monitor/2.1,1,644,LOG_SEQUENCE_ANOMALY,1
2025-12-04 04:31:04,CP_0003,CONFIG_UPDATE,875,2025-12-04 04:27:09,235,31,0d3e5e03a0e3,EVSE,EVSE-Controller/3.0,1,644,NORMAL,0
2025-12-04 04:32:43,CP_0013,AUTH_SUCCESS,1738,2025-12-04 04:31:04,-236,0,0a280a07612d,OCPP_GATEWAY,CSMS-Monitor/2.1,1,644,LOG_SEQUENCE_ANOMALY,1
2025-12-04 04:33:51,CP_0030,TRUNCATED_LOG,26,2025-12-04 04:32:43,68,33,0d97a1TRUNC,AUTH_SERVICE,EVSE-Controller/3.0,1,644,LOG_TRUNCATION,1
2025-12-04 04:34:08,CP_0017,FIRMWARE_CHECK,381,2025-12-04 04:33:51,17,34,08cd6d076c5a,OCPP_GATEWAY,MeterService/1.5,1,644,NORMAL,0
2025-12-04 04:36:17,CP_0031,DELETED_ENTRY,0,2025-12-04 04:34:08,43208,35,000000000000,CSMS,OCPP/1.6J-ChargePoint,0,644,LOG_DELETION,1
2025-12-04 04:39:56,CP_0008,AUTH_SUCCESS,220,2025-12-04 04:36:17,219,36,021f0b06654d,AUTH_SERVICE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
2025-12-04 04:42:06,CP_0035,AUTH_SUCCESS,923,2025-12-04 04:39:56,130,37,08c8bf077649,AUTH_SERVICE,CSMS-Monitor/2.1,0,644,NORMAL,0
2026-05-04 03:13:59,CP_0040,METER_VALUE,700,2025-12-04 04:42:06,-7200,38,020ca10c9203,OCPP_GATEWAY,CSMS-Monitor/2.1,0,644,TIMESTAMP_MANIPULATION,1
2025-12-04 04:47:26,CP_0044,STATUS_CHANGE,1243,2025-12-04 04:46:26,60,39,0bd7d50743c0,EVSE,MeterService/1.5,1,644,NORMAL,0
2025-12-04 04:49:13,CP_0008,CONNECTOR_STATUS,315,2025-12-04 04:47:26,107,40,0c215304eb69,EVSE,OCPP/1.6J-ChargePoint,1,644,NORMAL,0
