timestamp,charge_point_id,command_type,voltage,current_amp,temperature,state_of_charge,power_kw,max_allowed_current,max_allowed_temp,max_allowed_voltage,current_deviation,temp_deviation,voltage_deviation,is_rapid_charging,command_source,anomaly_type,risk_level,label
2025-01-06T19:39:08.000Z,CP_019,SetChargingProfile,564.45,29.52,23.1,67.0,16.66,32.0,55.0,440.0,2.48,31.9,-124.45,1,manipulated,voltage_spike,high,1
2025-01-02T04:32:09.000Z,CP_007,UpdateFirmware,411.8,24.94,37.2,91.0,19.75,37.07,57.7,447.85,12.13,20.5,36.05,1,csms,normal,none,0
2025-01-05T09:54:56.000Z,CP_015,RemoteStartTransaction,450.32,105.07,80.6,66.2,47.32,32.0,55.0,440.0,-73.07,-25.6,-10.32,1,manipulated,combined_attack,critical,1
2025-01-03T16:48:32.000Z,CP_013,ChangeConfiguration,417.97,20.31,28.0,57.0,8.36,25.6,47.5,456.24,5.29,19.5,38.27,1,csms,normal,none,0
2025-01-07T22:44:11.000Z,CP_008,ChangeConfiguration,407.59,23.3,68.2,61.8,15.46,32.0,55.0,440.0,8.7,-13.2,32.41,1,manipulated,temperature_limit_bypass,high,1
2025-01-01T17:40:36.000Z,CP_014,UpdateFirmware,395.01,17.21,39.9,75.4,13.28,29.71,60.3,432.56,12.5,20.4,37.55,1,local,normal,none,0
2025-01-07T06:46:32.000Z,CP_009,RemoteStartTransaction,389.29,278.7,21.2,54.0,108.5,32.0,55.0,440.0,-246.7,33.8,50.71,1,manipulated,overcurrent_attack,critical,1
2025-01-01T08:55:42.000Z,CP_015,SetChargingProfile,396.53,19.0,29.0,74.3,16.53,31.6,42.1,427.51,12.6,13.1,30.98,1,local,normal,none,0
2025-01-04T17:46:14.000Z,CP_018,ChangeConfiguration,398.61,25.19,99.3,62.6,14.66,32.0,55.0,440.0,6.81,-44.3,41.39,1,manipulated,temperature_limit_bypass,critical,1
2025-01-01T13:15:20.000Z,CP_009,ChangeConfiguration,414.91,29.62,44.2,85.3,10.45,35.43,61.3,448.18,5.81,17.1,33.27,0,local,normal,none,0
2025-01-02T23:26:05.000Z,CP_006,RemoteStartTransaction,395.74,22.04,40.9,58.5,7.7,27.27,59.3,427.98,5.23,18.4,32.24,0,local,normal,none,0
2025-01-02T08:47:14.000Z,CP_001,Reset,381.76,29.81,26.1,50.1,12.99,36.31,50.1,418.91,6.5,24.0,37.15,1,csms,normal,none,0
