record_id,timestamp,charge_point_id,session_id,tariff_type,base_price_kwh,price_per_kwh,original_price,modified_price,price_change_percent,discount_code,discount_applied,expected_discount,final_price,energy_kwh,total_cost,user_role,update_source,is_authorized,request_ip,price_valid_from,previous_update_mins,anomaly_type,label
1,2026-01-11 22:41:00,CP-0017,b1f38c9b,standard,3.89,3.89,3.89,3.89,0.0,LOYAL15,15,15,3.31,39.82,131.8,admin,csms,True,192.168.1.3,2026-01-11 22:41:00,655,none,0
2,2026-01-14 08:55:00,CP-0026,7bcfc1ff,peak,6.81,10.21,10.21,10.21,0.0,LOYAL15,15,15,8.68,14.81,128.55,operator,csms,True,192.168.1.21,2026-01-14 08:55:00,555,none,0
3,2026-01-30 16:21:00,CP-0045,463a57f6,standard,7.4,7.4,7.4,7.4,0.0,FIRST50,50,50,3.7,14.91,55.17,admin,csms,True,192.168.1.25,2026-01-30 16:21:00,242,none,0
4,2026-01-06 04:00:00,CP-0009,3e21b579,night,2.87,1.72,1.72,1.72,0.0,SUMMER20,20,20,1.38,19.86,27.41,operator,billing_engine,True,192.168.1.44,2026-01-06 04:00:00,1350,none,0
5,2026-01-25 09:25:00,CP-0006,f491a17d,standard,7.59,7.59,7.59,7.59,0.0,WELCOME10,10,10,6.83,17.15,117.13,admin,billing_engine,True,192.168.1.21,2026-01-25 09:25:00,1397,none,0
6,2026-01-22 08:29:00,CP-0003,28ec7a20,peak,5.86,8.79,8.79,8.79,0.0,WELCOME10,10,10,7.91,23.55,186.28,system,billing_engine,True,192.168.1.22,2026-01-22 08:29:00,1063,none,0
7,2026-01-21 20:10:00,CP-0049,6467c60e,peak,3.0,4.5,4.5,4.5,0.0,WELCOME10,10,10,4.05,21.54,87.24,admin,billing_engine,True,192.168.1.15,2026-01-21 20:10:00,1161,none,0
8,2026-01-14 20:00:00,CP-0038,7831005e,peak,3.5,5.25,5.25,5.25,0.0,LOYAL15,15,15,4.46,13.97,62.31,admin,csms,True,192.168.1.3,2026-01-14 20:00:00,1250,none,0
9,2026-01-06 23:11:00,CP-0040,3bdfa6a7,standard,4.39,4.39,4.39,4.39,0.0,FIRST50,50,50,2.19,9.02,19.75,operator,csms,True,192.168.1.32,2026-01-06 23:11:00,339,none,0
10,2026-01-16 15:11:00,CP-0036,a443cc44,night,6.39,6.39,6.39,3.83,-40.06,WELCOME10,10,10,5.75,58.2,334.65,admin,csms,True,192.168.1.22,2026-01-16 15:11:00,548,tariff_shift,1
11,2026-01-12 23:53:00,CP-0015,3a801ac8,standard,5.45,5.45,5.45,5.45,0.0,WELCOME10,10,10,4.91,15.08,74.04,system,billing_engine,True,192.168.1.50,2026-01-12 23:53:00,717,none,0
12,2026-01-18 07:52:00,CP-0006,58a3ac55,peak,5.07,7.61,7.61,7.61,0.0,LOYAL15,15,15,6.47,35.06,226.84,admin,csms,True,192.168.1.9,2026-01-18 07:52:00,1037,none,0
13,2026-01-27 05:34:00,CP-0038,1b218ade,night,3.06,1.84,1.84,1.84,0.0,SUMMER20,20,20,1.47,75.62,111.16,admin,csms,True,192.168.1.43,2026-01-27 05:34:00,1338,none,0
14,2026-01-04 02:00:00,CP-0007,87b1ef3f,night,5.25,3.15,3.15,3.15,0.0,NONE,0,0,3.15,10.49,33.04,admin,billing_engine,True,192.168.1.9,2026-01-04 02:00:00,774,none,0
15,2026-01-19 07:38:00,CP-0024,b46b96d8,peak,4.06,6.09,6.09,6.09,0.0,STOLEN50,93,0,0.43,17.76,7.64,system,csms,True,192.168.1.1,2026-01-19 07:38:00,1136,discount_manipulation,1
16,2026-01-04 03:19:00,CP-0004,a040f521,night,5.27,3.16,3.16,3.16,0.0,WELCOME10,10,10,2.84,32.66,92.75,operator,csms,True,192.168.1.42,2026-01-04 03:19:00,244,none,0
17,2026-01-16 22:16:00,CP-0005,75361a8a,standard,6.98,6.98,6.98,6.98,0.0,LOYAL15,15,15,5.93,30.86,183.0,system,csms,True,192.168.1.50,2026-01-16 22:16:00,1251,none,0
18,2026-01-14 15:09:00,CP-0017,53ec22e7,standard,4.98,4.98,4.98,4.88,-2.01,LOYAL15,15,15,4.23,33.16,140.27,admin,csms,True,192.168.1.13,2026-01-14 15:09:00,550,rounding_attack,1
19,2026-01-20 05:21:00,CP-0045,48698999,night,6.2,3.72,3.72,3.72,0.0,LOYAL15,15,15,3.16,48.81,154.24,system,billing_engine,True,192.168.1.21,2026-01-20 05:21:00,937,none,0
20,2026-01-12 21:29:00,CP-0029,5f77f374,standard,4.0,4.0,4.0,4.0,0.0,WELCOME10,10,10,3.6,65.6,236.16,system,csms,True,192.168.1.4,2026-01-12 21:29:00,1395,none,0
21,2026-01-02 09:42:00,CP-0020,0b176c74,standard,5.97,5.97,5.97,5.97,0.0,NONE,0,0,5.97,29.83,178.09,admin,csms,True,192.168.1.7,2026-01-02 09:42:00,913,none,0
22,2026-01-18 08:41:00,CP-0031,507e3a4a,peak,8.11,12.16,12.16,12.16,0.0,FIRST50,50,50,6.08,53.79,327.04,operator,billing_engine,True,192.168.1.19,2026-01-18 08:41:00,1382,none,0
23,2026-01-30 01:19:00,CP-0041,2c1b9744,night,8.12,4.87,4.87,4.87,0.0,SUMMER20,20,20,3.9,59.62,232.52,system,csms,True,192.168.1.17,2026-01-30 01:19:00,1045,none,0
24,2026-01-18 15:35:00,CP-0012,b28ccba6,standard,7.2,7.2,7.2,7.2,0.0,FIRST50,50,50,3.6,32.77,117.97,system,billing_engine,True,192.168.1.17,2026-01-18 15:35:00,688,none,0
25,2026-01-18 14:02:00,CP-0006,27ce8eee,standard,5.84,5.84,5.84,5.84,0.0,WELCOME10,10,10,5.26,64.38,338.64,system,billing_engine,True,192.168.1.33,2026-01-18 14:02:00,1211,none,0
26,2026-01-16 23:31:00,CP-0025,c65b1e87,standard,4.28,4.28,4.28,4.28,0.0,FREE,58,0,1.8,20.33,36.59,admin,csms,True,192.168.1.47,2026-01-16 23:31:00,1284,discount_manipulation,1
27,2026-01-19 01:32:00,CP-0020,b872b452,night,4.67,2.8,2.8,2.8,0.0,LOYAL15,15,15,2.38,18.52,44.08,admin,billing_engine,True,192.168.1.50,2026-01-19 01:32:00,1055,none,0
28,2026-01-07 16:32:00,CP-0011,84ddafa2,standard,7.59,7.59,7.59,7.59,0.0,FIRST50,50,50,3.79,10.61,40.21,operator,billing_engine,True,192.168.1.16,2026-01-07 16:32:00,737,none,0
29,2026-01-15 03:41:00,CP-0019,d765d552,night,6.73,4.04,4.04,1.9,-52.97,FIRST50,50,50,2.02,77.72,156.99,user,mobile_app,False,10.172.20.71,2026-01-15 03:41:00,965,unauthorized_update,1
30,2026-01-18 10:28:00,CP-0019,8bb9781a,standard,6.64,6.64,6.64,6.64,0.0,FIRST50,50,50,3.32,7.45,24.73,operator,billing_engine,True,192.168.1.45,2026-01-18 10:28:00,989,none,0
31,2026-01-27 18:45:00,CP-0037,39cd9927,night,5.6,8.4,8.4,3.36,-60.0,SUMMER20,20,20,6.72,42.44,285.2,system,billing_engine,True,192.168.1.18,2026-01-27 18:45:00,1366,tariff_shift,1
32,2026-01-08 15:18:00,CP-0007,25065534,standard,8.25,8.25,8.25,8.35,1.21,WELCOME10,10,10,7.42,17.36,128.81,admin,csms,True,192.168.1.32,2026-01-08 15:18:00,368,rounding_attack,1
33,2026-01-15 02:05:00,CP-0004,a27a7ceb,night,7.56,4.54,4.54,4.54,0.0,SUMMER20,20,20,3.63,24.99,90.71,operator,csms,True,192.168.1.35,2026-01-15 02:05:00,1022,none,0
34,2026-01-25 13:27:00,CP-0019,ee6c7505,standard,5.94,5.94,5.94,5.94,0.0,FIRST50,50,50,2.97,13.64,40.51,admin,billing_engine,True,192.168.1.11,2026-01-25 13:27:00,1325,none,0
35,2026-01-19 10:06:00,CP-0009,97644b85,standard,6.97,6.97,6.97,6.97,0.0,LOYAL15,15,15,5.92,46.73,276.64,system,billing_engine,True,192.168.1.43,2026-01-19 10:06:00,310,none,0
36,2026-01-20 04:47:00,CP-0024,d39c9f07,night,4.51,2.71,2.71,2.71,0.0,LOYAL15,15,15,2.3,47.03,108.17,operator,billing_engine,True,192.168.1.2,2026-01-20 04:47:00,903,none,0
37,2026-01-14 19:44:00,CP-0046,5a9ca04d,peak,6.39,9.58,9.58,9.58,0.0,SUMMER20,20,20,7.66,59.99,459.52,admin,csms,True,192.168.1.46,2026-01-14 19:44:00,980,none,0
38,2026-01-15 07:47:00,CP-0044,a1038c1c,peak,8.09,12.13,12.13,12.13,0.0,FAKE99,73,0,3.28,32.3,105.94,admin,csms,True,192.168.1.25,2026-01-15 07:47:00,808,discount_manipulation,1
39,2026-01-18 02:40:00,CP-0042,dcd252d0,night,8.03,4.82,4.82,4.82,0.0,ADMIN100,69,0,1.49,7.75,11.55,admin,csms,True,192.168.1.29,2026-01-18 02:40:00,540,discount_manipulation,1
40,2026-01-30 00:37:00,CP-0050,47ec0e0d,night,6.46,3.88,3.88,3.88,0.0,WELCOME10,10,10,3.49,51.4,179.39,admin,csms,True,192.168.1.6,2026-01-30 00:37:00,608,none,0
41,2026-01-01 09:03:00,CP-0043,8209abfa,standard,4.1,4.1,4.1,4.15,1.22,WELCOME10,10,10,3.69,48.68,179.63,admin,csms,True,192.168.1.14,2026-01-01 09:03:00,1129,rounding_attack,1
42,2026-01-18 16:03:00,CP-0016,b1186918,standard,4.88,4.88,4.88,4.88,0.0,LOYAL15,15,15,4.15,33.96,140.93,admin,billing_engine,True,192.168.1.15,2026-01-18 16:03:00,117,none,0
43,2026-01-08 09:10:00,CP-0009,ff626902,standard,8.33,8.33,8.33,8.33,0.0,SUMMER20,20,20,6.66,8.2,54.61,admin,billing_engine,True,192.168.1.13,2026-01-08 09:10:00,1344,none,0
44,2026-01-02 06:21:00,CP-0034,c4d39b0f,peak,7.34,11.01,11.01,11.01,0.0,LOYAL15,15,15,9.36,9.79,91.63,system,csms,True,192.168.1.32,2026-01-02 06:21:00,992,none,0
45,2026-01-07 05:09:00,CP-0022,684feb10,peak,5.32,3.19,3.19,7.98,150.16,NONE,0,0,3.19,26.83,85.59,admin,csms,True,192.168.1.4,2026-01-07 05:09:00,546,tariff_shift,1
46,2026-01-25 10:00:00,CP-0045,53fef70a,standard,4.07,4.07,4.07,4.07,0.0,LOYAL15,15,15,3.46,22.72,78.61,system,csms,True,192.168.1.30,2026-01-25 10:00:00,688,none,0
