id,timestamp,charge_point_id,session_id,user_role,original_role,requested_action,required_role,action_allowed,ip_address,rfid_tag,auth_method,request_source,config_modified,role_changed,escalation_attempt,bypass_detected,label
1,2026-01-01T15:40:00Z,CP_033,AUTH_263055,user,user,StartTransaction,user,1,192.168.1.40,VALID_RFID_2859,Backend,remote_csms,0,0,0,0,0
2,2026-01-01T01:03:00Z,CP_004,SES_433788,admin,admin,ClearCache,admin,1,192.168.1.1,VALID_RFID_8938,RFID,local,0,0,0,0,0
3,2026-01-01T22:31:00Z,CP_025,SES_397881,guest,guest,Heartbeat,guest,1,192.168.1.3,VALID_RFID_6241,Mobile_App,local,0,0,0,0,0
4,2026-01-01T07:58:00Z,CP_002,AUTH_868439,guest,operator,GetDiagnostics,admin,1,10.0.0.21,ATTACKER_TAG_305,Spoofed_RFID,mitm_proxy,0,0,1,1,1
5,2026-01-01T04:07:00Z,CP_010,TXN_755469,user,user,StartTransaction,user,1,192.168.1.40,VALID_RFID_6721,Backend,local,0,0,0,0,0
6,2026-01-01T16:06:00Z,CP_003,AUTH_360331,operator,operator,UnlockConnector,operator,1,192.168.1.39,VALID_RFID_5383,Mobile_App,local,0,0,0,0,0
7,2026-01-01T17:05:00Z,CP_032,TXN_995466,operator,operator,StatusNotification,guest,1,192.168.1.25,VALID_RFID_6619,PIN,local,0,0,0,0,0
8,2026-01-01T22:28:00Z,CP_028,AUTH_361522,guest,guest,Authorize,guest,1,192.168.1.45,VALID_RFID_1194,RFID,local,0,0,0,0,0
9,2026-01-01T15:23:00Z,CP_001,TXN_641213,user,user,Heartbeat,guest,1,192.168.1.13,VALID_RFID_6049,Backend,local,0,0,0,0,0
10,2026-01-01T10:46:00Z,CP_048,TXN_890450,operator,operator,UpdateFirmware,admin,0,185.143.220.14,ATTACKER_TAG_535,Injected_Token,external,1,0,1,0,1
11,2026-01-01T01:41:00Z,CP_002,TXN_338419,guest,guest,InjectLocalAuthList,superadmin,0,10.0.0.9,ATTACKER_TAG_235,Replay_Attack,unknown,1,0,1,1,1
12,2026-01-01T10:59:00Z,CP_044,TXN_470233,admin,user,ModifyUserRoles,superadmin,0,10.0.0.4,ATTACKER_TAG_310,MITM_Attack,unknown,0,1,1,0,1
13,2026-01-01T18:14:00Z,CP_022,SES_927302,guest,guest,GetDiagnostics,admin,0,10.0.0.5,ATTACKER_TAG_392,Replay_Attack,external,0,0,1,1,1
14,2026-01-01T06:33:00Z,CP_028,AUTH_354431,operator,operator,Authorize,guest,1,192.168.1.15,VALID_RFID_1211,Backend,remote_csms,0,0,0,0,0
15,2026-01-01T21:01:00Z,CP_020,AUTH_273294,admin,admin,Reset,admin,1,192.168.1.20,VALID_RFID_1401,PIN,remote_csms,0,0,0,0,0
16,2026-01-01T20:33:00Z,CP_043,AUTH_401845,user,user,Heartbeat,guest,1,192.168.1.39,VALID_RFID_9598,Mobile_App,local,0,0,0,0,0
17,2026-01-01T08:19:00Z,CP_036,TXN_344499,superadmin,superadmin,RemoteStartTransaction,operator,1,192.168.1.25,VALID_RFID_3220,RFID,local,0,0,0,0,0
18,2026-01-01T07:20:00Z,CP_005,SES_874724,operator,operator,RemoteStopTransaction,operator,1,192.168.1.2,VALID_RFID_7471,Mobile_App,local,0,0,0,0,0
19,2026-01-01T21:24:00Z,CP_029,SES_589153,admin,guest,DisableSecurityProtocol,superadmin,0,10.0.0.22,ATTACKER_TAG_716,Spoofed_RFID,unknown,0,1,1,1,1
20,2026-01-01T14:19:00Z,CP_021,AUTH_441558,user,user,InjectLocalAuthList,superadmin,0,185.143.220.12,ATTACKER_TAG_290,Replay_Attack,external,1,0,1,1,1
21,2026-01-01T11:13:00Z,CP_045,AUTH_513957,guest,guest,Authorize,guest,1,192.168.1.35,VALID_RFID_6371,RFID,remote_csms,0,0,0,0,0
22,2026-01-01T21:14:00Z,CP_023,AUTH_753174,user,user,Heartbeat,guest,1,192.168.1.10,VALID_RFID_5513,RFID,local,0,0,0,0,0
23,2026-01-01T21:44:00Z,CP_032,AUTH_714135,guest,operator,InjectLocalAuthList,superadmin,0,185.143.220.2,ATTACKER_TAG_203,Replay_Attack,mitm_proxy,1,0,1,1,1
24,2026-01-01T20:08:00Z,CP_015,SES_109427,user,operator,SendLocalList,admin,1,185.143.220.10,ATTACKER_TAG_465,Replay_Attack,mitm_proxy,1,0,1,1,1
25,2026-01-01T19:43:00Z,CP_029,AUTH_110873,operator,operator,StopTransaction,user,1,192.168.1.12,VALID_RFID_5001,RFID,local,0,0,0,0,0
26,2026-01-01T20:27:00Z,CP_026,SES_431727,user,user,MeterValues,user,1,192.168.1.24,VALID_RFID_5136,PIN,remote_csms,0,0,0,0,0
27,2026-01-01T13:12:00Z,CP_023,AUTH_962549,guest,guest,Authorize,guest,1,192.168.1.10,VALID_RFID_6359,PIN,remote_csms,0,0,0,0,0
28,2026-01-01T14:37:00Z,CP_025,SES_864263,user,user,StartTransaction,user,1,192.168.1.27,VALID_RFID_7180,Backend,local,0,0,0,0,0
29,2026-01-01T02:12:00Z,CP_032,SES_205587,guest,guest,StatusNotification,guest,1,192.168.1.33,VALID_RFID_9448,Backend,local,0,0,0,0,0
30,2026-01-01T16:32:00Z,CP_039,AUTH_210958,user,user,Authorize,guest,1,192.168.1.38,VALID_RFID_1353,RFID,local,0,0,0,0,0
31,2026-01-01T07:13:00Z,CP_045,SES_284607,operator,operator,Heartbeat,guest,1,192.168.1.33,VALID_RFID_6685,Backend,remote_csms,0,0,0,0,0
32,2026-01-01T23:43:00Z,CP_018,AUTH_446206,guest,guest,Authorize,guest,1,192.168.1.1,VALID_RFID_1061,Backend,local,0,0,0,0,0
33,2026-01-01T19:56:00Z,CP_015,AUTH_445584,user,user,StatusNotification,guest,1,192.168.1.45,VALID_RFID_1624,Backend,remote_csms,0,0,0,0,0
34,2026-01-01T04:29:00Z,CP_022,SES_388589,superadmin,superadmin,ModifyUserRoles,superadmin,1,192.168.1.40,VALID_RFID_4353,RFID,local,0,0,0,0,0
35,2026-01-01T19:24:00Z,CP_036,AUTH_669953,user,user,Authorize,guest,1,192.168.1.28,VALID_RFID_5674,Backend,local,0,0,0,0,0
36,2026-01-01T22:45:00Z,CP_039,AUTH_817357,guest,guest,Heartbeat,guest,1,192.168.1.17,VALID_RFID_4951,Mobile_App,remote_csms,0,0,0,0,0
37,2026-01-01T05:27:00Z,CP_049,AUTH_570843,superadmin,superadmin,StatusNotification,guest,1,192.168.1.27,VALID_RFID_9150,PIN,local,0,0,0,0,0
38,2026-01-01T20:21:00Z,CP_026,TXN_869758,admin,admin,Heartbeat,guest,1,192.168.1.43,VALID_RFID_4850,RFID,remote_csms,0,0,0,0,0
39,2026-01-01T21:33:00Z,CP_034,AUTH_557835,admin,admin,ClearCache,admin,1,192.168.1.10,VALID_RFID_9546,RFID,local,0,0,0,0,0
40,2026-01-01T21:57:00Z,CP_032,SES_892696,guest,guest,StatusNotification,guest,1,192.168.1.42,VALID_RFID_3456,Mobile_App,remote_csms,0,0,0,0,0
41,2026-01-01T09:03:00Z,CP_002,SES_388890,superadmin,superadmin,ModifyUserRoles,superadmin,1,192.168.1.38,VALID_RFID_8404,Backend,local,0,0,0,0,0
42,2026-01-01T06:34:00Z,CP_049,TXN_275745,admin,admin,Authorize,guest,1,192.168.1.33,VALID_RFID_8445,PIN,local,0,0,0,0,0
43,2026-01-01T16:07:00Z,CP_031,SES_949675,admin,admin,Reset,admin,1,192.168.1.1,VALID_RFID_9682,RFID,remote_csms,0,0,0,0,0
44,2026-01-01T02:06:00Z,CP_030,TXN_513359,admin,admin,Reset,admin,1,192.168.1.7,VALID_RFID_9145,PIN,local,0,0,0,0,0
45,2026-01-01T03:52:00Z,CP_002,AUTH_657617,admin,user,FactoryReset,superadmin,1,185.143.220.17,ATTACKER_TAG_613,MITM_Attack,mitm_proxy,0,1,1,1,1
46,2026-01-01T02:35:00Z,CP_028,TXN_399066,superadmin,superadmin,StopTransaction,user,1,192.168.1.10,VALID_RFID_1950,PIN,local,0,0,0,0,0
47,2026-01-01T16:32:00Z,CP_012,TXN_784390,operator,operator,Authorize,guest,1,192.168.1.41,VALID_RFID_4300,RFID,remote_csms,0,0,0,0,0
48,2026-01-01T00:54:00Z,CP_020,TXN_976066,operator,operator,Heartbeat,guest,1,192.168.1.42,VALID_RFID_7969,Backend,local,0,0,0,0,0
49,2026-01-01T05:49:00Z,CP_004,AUTH_697173,user,user,StartTransaction,user,1,192.168.1.49,VALID_RFID_3959,Backend,remote_csms,0,0,0,0,0
50,2026-01-01T20:53:00Z,CP_003,AUTH_297543,user,operator,SendLocalList,admin,0,10.0.0.13,ATTACKER_TAG_257,Replay_Attack,mitm_proxy,1,0,1,1,1
51,2026-01-01T05:35:00Z,CP_038,SES_437894,operator,operator,MeterValues,user,1,192.168.1.28,VALID_RFID_6097,RFID,remote_csms,0,0,0,0,0
52,2026-01-01T13:41:00Z,CP_012,SES_266505,guest,guest,Authorize,guest,1,192.168.1.2,VALID_RFID_7948,Mobile_App,local,0,0,0,0,0
53,2026-01-01T16:33:00Z,CP_005,AUTH_814484,operator,operator,Heartbeat,guest,1,192.168.1.5,VALID_RFID_8089,Backend,local,0,0,0,0,0
54,2026-01-01T03:03:00Z,CP_019,TXN_118537,operator,user,SendLocalList,admin,1,10.0.0.29,ATTACKER_TAG_381,MITM_Attack,mitm_proxy,1,0,1,1,1
55,2026-01-01T04:23:00Z,CP_044,TXN_787637,superadmin,operator,FactoryReset,superadmin,1,185.143.220.3,ATTACKER_TAG_277,Spoofed_RFID,external,1,1,1,1,1
56,2026-01-01T02:59:00Z,CP_004,SES_942114,superadmin,superadmin,UpdateFirmware,admin,1,192.168.1.39,VALID_RFID_1465,Mobile_App,local,0,0,0,0,0
57,2026-01-01T07:44:00Z,CP_044,AUTH_409585,superadmin,user,FactoryReset,superadmin,0,185.143.220.12,ATTACKER_TAG_360,MITM_Attack,external,0,1,1,1,1
58,2026-01-01T08:33:00Z,CP_036,AUTH_336616,guest,guest,StatusNotification,guest,1,192.168.1.41,VALID_RFID_6853,Backend,local,0,0,0,0,0
59,2026-01-01T21:09:00Z,CP_002,AUTH_907137,operator,operator,MeterValues,user,1,192.168.1.26,VALID_RFID_9422,Mobile_App,local,0,0,0,0,0
60,2026-01-01T02:49:00Z,CP_028,TXN_737043,admin,admin,GetDiagnostics,admin,1,192.168.1.41,VALID_RFID_1541,Backend,remote_csms,0,0,0,0,0
61,2026-01-01T17:13:00Z,CP_038,AUTH_157679,superadmin,superadmin,ClearCache,admin,1,192.168.1.28,VALID_RFID_9638,Mobile_App,local,0,0,0,0,0
62,2026-01-01T18:26:00Z,CP_005,AUTH_690991,superadmin,superadmin,ChangeAvailability,operator,1,192.168.1.48,VALID_RFID_5806,PIN,local,0,0,0,0,0
63,2026-01-01T13:18:00Z,CP_043,SES_268787,superadmin,user,Reset,admin,0,185.143.220.6,ATTACKER_TAG_241,Injected_Token,external,0,1,1,0,1
64,2026-01-01T10:29:00Z,CP_010,AUTH_282028,admin,user,ModifyUserRoles,superadmin,0,10.0.0.3,ATTACKER_TAG_857,Spoofed_RFID,external,1,1,1,1,1
65,2026-01-01T22:10:00Z,CP_025,SES_801278,guest,guest,GetDiagnostics,admin,1,10.0.0.28,ATTACKER_TAG_771,MITM_Attack,mitm_proxy,0,0,1,1,1
66,2026-01-01T03:51:00Z,CP_024,TXN_305456,admin,admin,GetConfiguration,operator,1,192.168.1.28,VALID_RFID_1914,PIN,local,0,0,0,0,0
67,2026-01-01T23:58:00Z,CP_027,SES_173326,superadmin,superadmin,StopTransaction,user,1,192.168.1.33,VALID_RFID_6026,Mobile_App,remote_csms,0,0,0,0,0
68,2026-01-01T09:21:00Z,CP_041,AUTH_309759,operator,operator,InjectLocalAuthList,superadmin,0,10.0.0.6,ATTACKER_TAG_617,Replay_Attack,mitm_proxy,1,0,1,1,1
69,2026-01-01T12:56:00Z,CP_041,SES_904840,guest,guest,Heartbeat,guest,1,192.168.1.23,VALID_RFID_2520,Backend,remote_csms,0,0,0,0,0
70,2026-01-01T14:21:00Z,CP_035,TXN_308983,superadmin,guest,Reset,admin,0,10.0.0.11,ATTACKER_TAG_274,Injected_Token,unknown,0,1,1,0,1
71,2026-01-01T02:10:00Z,CP_039,AUTH_154158,admin,guest,ModifyUserRoles,superadmin,0,185.143.220.19,ATTACKER_TAG_538,Spoofed_RFID,external,1,1,1,1,1
72,2026-01-01T14:24:00Z,CP_006,SES_160818,superadmin,operator,InjectLocalAuthList,superadmin,0,185.143.220.2,ATTACKER_TAG_802,Spoofed_RFID,mitm_proxy,0,1,1,1,1
73,2026-01-01T15:17:00Z,CP_019,AUTH_518678,user,user,Heartbeat,guest,1,192.168.1.25,VALID_RFID_7252,RFID,local,0,0,0,0,0
74,2026-01-01T04:09:00Z,CP_003,TXN_279082,user,user,StatusNotification,guest,1,192.168.1.35,VALID_RFID_1666,RFID,remote_csms,0,0,0,0,0
75,2026-01-01T18:32:00Z,CP_014,AUTH_275669,operator,operator,RemoteStartTransaction,operator,1,192.168.1.41,VALID_RFID_9114,PIN,local,0,0,0,0,0
76,2026-01-01T19:50:00Z,CP_040,SES_510686,superadmin,superadmin,GetConfiguration,operator,1,192.168.1.24,VALID_RFID_3331,Mobile_App,local,0,0,0,0,0
77,2026-01-01T13:07:00Z,CP_009,TXN_854752,superadmin,superadmin,InjectLocalAuthList,superadmin,1,192.168.1.32,VALID_RFID_1625,PIN,local,0,0,0,0,0
78,2026-01-01T19:15:00Z,CP_013,AUTH_513925,guest,guest,Heartbeat,guest,1,192.168.1.9,VALID_RFID_3137,RFID,remote_csms,0,0,0,0,0
79,2026-01-01T04:32:00Z,CP_048,AUTH_217499,user,user,MeterValues,user,1,192.168.1.2,VALID_RFID_6612,RFID,remote_csms,0,0,0,0,0
80,2026-01-01T07:25:00Z,CP_029,AUTH_604253,user,user,Authorize,guest,1,192.168.1.17,VALID_RFID_6120,Backend,remote_csms,0,0,0,0,0
81,2026-01-01T06:19:00Z,CP_026,AUTH_939565,admin,admin,GetConfiguration,operator,1,192.168.1.11,VALID_RFID_9131,Mobile_App,remote_csms,0,0,0,0,0
82,2026-01-01T15:07:00Z,CP_008,SES_802577,superadmin,superadmin,MeterValues,user,1,192.168.1.16,VALID_RFID_8952,Backend,local,0,0,0,0,0
83,2026-01-01T15:24:00Z,CP_005,SES_344283,guest,guest,FactoryReset,superadmin,0,10.0.0.23,ATTACKER_TAG_100,Replay_Attack,unknown,0,0,1,1,1
84,2026-01-01T10:27:00Z,CP_004,AUTH_731276,user,user,MeterValues,user,1,192.168.1.49,VALID_RFID_6184,PIN,local,0,0,0,0,0
85,2026-01-01T06:20:00Z,CP_036,TXN_660921,guest,operator,UpdateFirmware,admin,0,185.143.220.12,ATTACKER_TAG_798,Injected_Token,unknown,1,0,1,0,1
86,2026-01-01T01:27:00Z,CP_014,SES_794913,admin,admin,Authorize,guest,1,192.168.1.34,VALID_RFID_2787,PIN,local,0,0,0,0,0
87,2026-01-01T22:43:00Z,CP_046,SES_178057,operator,operator,SendLocalList,admin,0,10.0.0.20,ATTACKER_TAG_992,Spoofed_RFID,unknown,1,0,1,1,1
88,2026-01-01T20:46:00Z,CP_027,AUTH_755079,user,user,Heartbeat,guest,1,192.168.1.45,VALID_RFID_9991,PIN,remote_csms,0,0,0,0,0
89,2026-01-01T02:05:00Z,CP_050,TXN_433484,superadmin,superadmin,RemoteStopTransaction,operator,1,192.168.1.30,VALID_RFID_4203,Backend,local,0,0,0,0,0
90,2026-01-01T21:05:00Z,CP_049,SES_726966,superadmin,operator,ModifyUserRoles,superadmin,1,10.0.0.15,ATTACKER_TAG_429,MITM_Attack,mitm_proxy,0,1,1,1,1
91,2026-01-01T00:54:00Z,CP_041,AUTH_432465,superadmin,superadmin,SendLocalList,admin,1,192.168.1.36,VALID_RFID_5149,Backend,remote_csms,0,0,0,0,0
92,2026-01-01T16:55:00Z,CP_023,AUTH_462683,superadmin,superadmin,BypassAuthentication,superadmin,1,192.168.1.47,VALID_RFID_8667,RFID,remote_csms,0,0,0,0,0
93,2026-01-01T05:49:00Z,CP_011,SES_716328,superadmin,superadmin,GetConfiguration,operator,1,192.168.1.8,VALID_RFID_8005,PIN,remote_csms,0,0,0,0,0
94,2026-01-01T01:26:00Z,CP_022,SES_149238,user,user,MeterValues,user,1,192.168.1.9,VALID_RFID_5926,Mobile_App,local,0,0,0,0,0
95,2026-01-01T03:49:00Z,CP_034,TXN_710108,admin,guest,ModifyUserRoles,superadmin,0,10.0.0.27,ATTACKER_TAG_170,Spoofed_RFID,external,0,1,1,1,1
96,2026-01-01T20:35:00Z,CP_042,TXN_822856,admin,admin,StopTransaction,user,1,192.168.1.6,VALID_RFID_3318,PIN,remote_csms,0,0,0,0,0
97,2026-01-01T05:01:00Z,CP_029,SES_215685,guest,user,RemoteStartTransaction,operator,0,185.143.220.11,ATTACKER_TAG_873,Replay_Attack,unknown,0,0,1,1,1
98,2026-01-01T05:52:00Z,CP_044,AUTH_821789,admin,operator,UpdateFirmware,admin,0,185.143.220.4,ATTACKER_TAG_748,Replay_Attack,mitm_proxy,0,1,1,0,1
99,2026-01-01T16:20:00Z,CP_004,SES_850028,superadmin,guest,FactoryReset,superadmin,1,10.0.0.6,ATTACKER_TAG_236,Spoofed_RFID,unknown,1,1,1,1,1
100,2026-01-01T22:23:00Z,CP_002,TXN_641718,user,user,StatusNotification,guest,1,192.168.1.28,VALID_RFID_9279,Backend,local,0,0,0,0,0
