timestamp,charge_point_id,connector_id,command_type,source_ip,source_type,id_tag,session_token,is_authenticated,is_authorized,response_status,can_message_id,transaction_id,energy_kwh,request_interval_ms,anomaly_type,label
2026-01-02 05:06:01,CP_12349,1,RemoteStopTransaction,192.168.1.101,CSMS,user_002,session_d9095876c8fb496d,True,True,Accepted,0x201,8788,27.12,107,NORMAL,0
2026-01-01 15:00:41,CP_12346,1,ChangeConfiguration,192.168.1.101,CSMS,user_002,session_43eee79db16242f2,True,True,Accepted,0x301,4324,28.28,176,NORMAL,0
2026-01-07 22:35:03,CP_12347,1,RemoteStartTransaction,10.0.0.50,CSMS,user_004,session_f2c1202f0f91437a,True,True,Accepted,0x200,7287,37.65,264,NORMAL,0
2026-01-09 08:13:13,CP_12348,2,GetConfiguration,192.168.1.101,CSMS,user_002,session_f4a0507b3f1346d2,True,True,Accepted,0x302,2799,5.24,442,NORMAL,0
2026-01-13 04:16:37,CP_12348,1,ChangeConfiguration,192.168.1.100,CSMS,fleet_001,session_38a06392dec542d6,True,True,Accepted,0x301,5782,14.0,160,NORMAL,0
2026-02-02 03:57:48,CP_12346,2,Reset,unknown,EXTERNAL,admin_001,,True,False,Accepted,0x300,100,0.0,118,SESSIONLESS_COMMAND,1
2026-02-08 16:34:33,CP_12346,2,Reset,185.220.101.1,EXTERNAL,user_004,,False,False,Accepted,0x300,,0.0,29,UNKNOWN_IP_COMMAND,1
2026-01-28 07:16:25,CP_12345,1,Reset,192.168.1.100,CSMS,user_005,session_ff0d0fd0cc184452,True,True,Accepted,0x300,4396,29.2,407,NORMAL,0
2026-01-05 05:47:51,CP_12349,1,Reset,192.168.1.100,CSMS,user_005,session_9f016afe9afe4365,True,True,Accepted,0x300,3112,22.98,150,NORMAL,0
2026-01-05 07:39:51,CP_12349,1,RemoteStopTransaction,192.168.1.101,CSMS,user_002,session_0ff51463ab974e67,True,True,Accepted,0x201,9866,8.38,258,NORMAL,0
2026-02-06 12:08:10,CP_12349,1,RemoteStopTransaction,0.0.0.0,CSMS,STOLEN_002,,False,False,Rejected,0x200,,0.0,55,FAKE_ID_TAG,1
2026-01-30 10:37:13,CP_12348,1,RemoteStartTransaction,91.121.87.10,UNKNOWN,NULL,,False,False,Rejected,0x200,,0.0,10,UNAUTHORIZED_REMOTE_START,1
2026-02-01 23:44:20,CP_12346,2,RemoteStartTransaction,45.33.32.156,CSMS,UNKNOWN,,False,False,Rejected,0x200,,0.0,189,FAKE_ID_TAG,1
2026-01-27 20:23:10,CP_12349,2,ChangeConfiguration,10.0.0.50,CSMS,fleet_001,session_9342d4618b6a4467,True,True,Accepted,0x301,8321,45.54,317,NORMAL,0
2026-01-31 21:41:09,CP_12346,1,RemoteStopTransaction,192.168.1.100,CSMS,user_002,,True,False,Rejected,0x201,85,0.0,99,SESSIONLESS_COMMAND,1
2026-01-14 17:17:53,CP_12348,2,RemoteStartTransaction,192.168.1.101,CSMS,user_002,session_cf70ce278e3e484a,True,True,Accepted,0x200,4978,31.11,177,NORMAL,0
